arm,label,mode,klass,auc_mean,auc_sd,auc_min,auc_max,n_pairs,n_seeds,degenerate_pairs,degenerate_frac
ecfp,ECFP4,stereo_flip,A,0.7516,0.0232,0.7212,0.7902,1000,5,121,0.121
ecfp,ECFP4,ez_flip,A,0.9575,0.0052,0.9521,0.9647,1000,5,0,0.000
ecfp,ECFP4,isotope_13c,A,0.5022,0.0038,0.4973,0.5080,1000,5,969,0.969
ecfp,ECFP4,protonate,A,1.0000,0.0000,1.0000,1.0000,1000,5,0,0.000
ecfp,ECFP4,halogen_swap,A,0.8767,0.0182,0.8503,0.9037,1000,5,0,0.000
ecfp,ECFP4,saturate,A,0.9803,0.0042,0.9740,0.9869,1000,5,0,0.000
ecfp,ECFP4,null_enumerate,B,0.5000,0.0000,0.5000,0.5000,1000,5,1000,1.000
ecfp,ECFP4,h_to_methyl,A,0.9486,0.0071,0.9370,0.9589,1000,5,0,0.000
ecfp,ECFP4,n_methylation,A,0.9983,0.0009,0.9970,0.9996,1000,5,0,0.000
ecfp,ECFP4,ch2_homolog,A,0.7990,0.0131,0.7780,0.8165,1000,5,0,0.000
ecfp,ECFP4,scaffold_hop,A,0.9478,0.0065,0.9391,0.9576,1000,5,0,0.000
ecfp,ECFP4,ring_contract,A,0.9775,0.0023,0.9747,0.9811,1000,5,0,0.000
ecfp,ECFP4,regioisomer,A,0.7756,0.0160,0.7459,0.7899,1000,5,1,0.001
ecfp,ECFP4,null_kekulize,B,0.5000,0.0000,0.5000,0.5000,1000,5,1000,1.000
ecfp,ECFP4,matched_mw,NULL,0.5005,0.0273,0.4732,0.5378,1000,5,0,0.000
hume,HUME,stereo_flip,A,0.7938,0.0141,0.7817,0.8201,1000,5,56,0.056
hume,HUME,ez_flip,A,0.9647,0.0036,0.9616,0.9717,1000,5,0,0.000
hume,HUME,isotope_13c,A,0.6238,0.0121,0.6041,0.6356,1000,5,0,0.000
hume,HUME,protonate,A,1.0000,0.0000,1.0000,1.0000,1000,5,0,0.000
hume,HUME,halogen_swap,A,0.8784,0.0151,0.8527,0.8961,1000,5,0,0.000
hume,HUME,saturate,A,0.9892,0.0027,0.9847,0.9925,1000,5,0,0.000
hume,HUME,null_enumerate,B,0.5001,0.0003,0.4996,0.5004,1000,5,975,0.975
hume,HUME,h_to_methyl,A,0.9510,0.0065,0.9402,0.9591,1000,5,0,0.000
hume,HUME,n_methylation,A,0.9969,0.0016,0.9949,0.9993,1000,5,0,0.000
hume,HUME,ch2_homolog,A,0.7659,0.0161,0.7489,0.7847,1000,5,0,0.000
hume,HUME,scaffold_hop,A,0.9688,0.0024,0.9659,0.9724,1000,5,0,0.000
hume,HUME,ring_contract,A,0.9986,0.0017,0.9954,1.0000,1000,5,0,0.000
hume,HUME,regioisomer,A,0.7297,0.0310,0.6805,0.7681,1000,5,0,0.000
hume,HUME,null_kekulize,B,0.5000,0.0000,0.5000,0.5000,1000,5,997,0.997
hume,HUME,matched_mw,NULL,0.5133,0.0229,0.4839,0.5450,1000,5,0,0.000
