arm,label,mode,klass,relative_response,q1,q3,n,matched_mw_reference_raw
ecfp,ECFP4,stereo_flip,A,0.494278,0.268768,0.603608,1000,1.171319
ecfp,ECFP4,ez_flip,A,0.688743,0.627622,0.761112,1000,1.171319
ecfp,ECFP4,isotope_13c,A,0.000000,0.000000,0.000000,1000,1.171319
ecfp,ECFP4,protonate,A,0.834717,0.726397,0.934202,1000,1.171319
ecfp,ECFP4,halogen_swap,A,0.351558,0.221881,0.463513,1000,1.171319
ecfp,ECFP4,h_to_methyl,A,0.517628,0.420087,0.621928,1000,1.171319
ecfp,ECFP4,n_methylation,A,0.828935,0.711815,0.943726,1000,1.171319
ecfp,ECFP4,scaffold_hop,A,0.695612,0.539079,0.866393,1000,1.171319
ecfp,ECFP4,ring_contract,A,0.977113,0.504845,1.171069,1000,1.171319
ecfp,ECFP4,ring_fusion,A,0.692889,0.521534,0.797396,1000,1.171319
ecfp,ECFP4,matched_mw,REF,1.000000,0.878615,1.121870,1000,1.171319
ecfp,ECFP4,null_enumerate,B,0.000000,0.000000,0.000000,1000,1.171319
ecfp,ECFP4,null_kekulize,B,0.000000,0.000000,0.000000,1000,1.171319
r3cfp,Morgan r=3,stereo_flip,A,0.558548,0.402514,0.630753,1000,1.165450
r3cfp,Morgan r=3,ez_flip,A,0.649774,0.612674,0.702288,1000,1.165450
r3cfp,Morgan r=3,isotope_13c,A,0.000000,0.000000,0.000000,1000,1.165450
r3cfp,Morgan r=3,protonate,A,0.774704,0.699921,0.828843,1000,1.165450
r3cfp,Morgan r=3,halogen_swap,A,0.434629,0.399778,0.484089,1000,1.165450
r3cfp,Morgan r=3,h_to_methyl,A,0.606856,0.540325,0.669166,1000,1.165450
r3cfp,Morgan r=3,n_methylation,A,0.803277,0.719624,0.869325,1000,1.165450
r3cfp,Morgan r=3,scaffold_hop,A,0.695744,0.579343,0.840134,1000,1.165450
r3cfp,Morgan r=3,ring_contract,A,0.927644,0.565867,1.088432,1000,1.165450
r3cfp,Morgan r=3,ring_fusion,A,0.863345,0.671734,0.968929,1000,1.165450
r3cfp,Morgan r=3,matched_mw,REF,1.000000,0.912840,1.078363,1000,1.165450
r3cfp,Morgan r=3,null_enumerate,B,0.000000,0.000000,0.000000,1000,1.165450
r3cfp,Morgan r=3,null_kekulize,B,0.000000,0.000000,0.000000,1000,1.165450
chemberta,ChemBERTa-2,stereo_flip,A,0.000000,0.000000,0.000000,1000,1.412823
chemberta,ChemBERTa-2,ez_flip,A,0.026539,0.020261,0.033780,1000,1.412823
chemberta,ChemBERTa-2,isotope_13c,A,0.402214,0.324529,0.497948,1000,1.412823
chemberta,ChemBERTa-2,protonate,A,0.000000,0.000000,0.000000,1000,1.412823
chemberta,ChemBERTa-2,halogen_swap,A,0.132923,0.099132,0.168048,1000,1.412823
chemberta,ChemBERTa-2,h_to_methyl,A,0.419860,0.237801,0.562308,1000,1.412823
chemberta,ChemBERTa-2,n_methylation,A,0.514749,0.438001,0.622246,1000,1.412823
chemberta,ChemBERTa-2,scaffold_hop,A,0.553596,0.411182,0.697785,1000,1.412823
chemberta,ChemBERTa-2,ring_contract,A,0.658332,0.447019,0.870729,1000,1.412823
chemberta,ChemBERTa-2,ring_fusion,A,0.548271,0.423392,0.677892,1000,1.412823
chemberta,ChemBERTa-2,matched_mw,REF,1.000000,0.879897,1.157480,1000,1.412823
chemberta,ChemBERTa-2,null_enumerate,B,0.771781,0.661321,0.872141,1000,1.412823
chemberta,ChemBERTa-2,null_kekulize,B,1.108312,0.903036,1.288966,1000,1.412823
